xaccel,yaccel,zaccel,label
1932,2255,1970,2
1922,2285,2073,2
1913,2274,2017,2
1981,2344,2132,2
1979,2288,2093,2
1910,2278,2028,2
1833,2404,2027,2
1870,2286,2162,2
1963,2375,2111,2
1895,2297,1988,2
1910,2360,2080,2
1920,2278,2056,2
1928,2243,2036,2
1907,2333,2118,2
1938,2423,2068,2
1898,2351,1983,2
1867,2304,2002,2
1825,2416,2035,2
1854,2399,2035,2
1911,2274,2032,2
1881,2371,2050,2
1851,2487,2003,2
1909,2315,2008,2
1849,2441,2002,2
1862,2413,2119,2
1891,2463,1987,2
1872,2346,1989,2
1834,2352,2073,2
1862,2318,2034,2
1830,2497,2062,2
1876,2402,2029,2
1997,2349,2140,2
1891,2346,2057,2
1835,2564,2093,2
1841,2572,2136,2
1831,2399,1989,2
1901,2343,2003,2
1898,2385,2021,2
1889,2327,2041,2
1934,2378,2051,2
1888,2255,2019,2
1830,2489,2115,2
1893,2289,2072,2
1879,2348,2031,2
1871,2255,2031,2
1931,2380,2016,2
1940,2343,2096,2
1924,2247,2062,2
1924,2437,2046,2
1843,2554,2114,2
1796,2464,2055,2
1896,2293,2018,2
1845,2538,2167,2
1859,2427,2099,2
1922,2302,2050,2
2006,2332,2121,2
1905,2354,2199,2
2005,2391,2133,2
1806,2437,1994,2
1838,2566,2157,2
2014,2359,2133,2
1969,2393,2140,2
1839,2556,2062,2
1907,2277,2053,2
1861,2395,2083,2
1850,2435,2026,2
1867,2350,2024,2
1899,2386,2011,2
1892,2538,2127,2
1938,2251,2023,2
2014,2390,2045,2
1801,2500,2002,2
1835,2479,2019,2
1816,2347,2121,2
1841,2539,2076,2
1820,2594,2144,2
1859,2362,2105,2
1912,2344,2049,2
1882,2347,2069,2
1839,2521,2021,2
1782,2469,1999,2
1924,2322,2044,2
1798,2587,2021,2
1859,2320,2017,2
1914,2330,2025,2
1997,2337,2139,2
1859,2374,2014,2
1822,2333,2136,2
1851,2404,2083,2
1925,2500,2000,2
1903,2395,1996,2
1841,2474,2135,2
1818,2432,2086,2
1889,2316,2046,2
1840,2351,2144,2
1908,2378,2039,2
1854,2384,2030,2
1887,2369,2100,2
1892,2334,2052,2
1839,2591,2043,2
1912,2437,2031,2
1889,2330,2101,2
1904,2381,2023,2
1957,2367,1972,2
1902,2476,2031,2
1917,2251,2050,2
1900,2399,2085,2
1920,2286,2034,2
1879,2484,2025,2
1842,2337,2169,2
1878,2310,2019,2
1877,2556,2118,2
1889,2310,2053,2
1884,2294,1968,2
1910,2322,2010,2
1904,2311,2013,2
1983,2347,2164,2
1883,2330,1967,2
1943,2247,2013,2
1861,2472,2131,2
1854,2410,2101,2
1880,2294,1996,2
1843,2578,2099,2
1888,2293,2000,2
1897,2385,2025,2
1874,2313,2045,2
1955,2364,2152,2
1862,2299,2013,2
1821,2278,2007,2
1921,2376,2027,2
1858,2569,2122,2
1891,2427,2122,2
1876,2315,1976,2
1994,2298,2154,2
1903,2401,2072,2
1920,2293,2038,2
1873,2535,1993,2
1841,2425,2034,2
1838,2556,2014,2
1842,2362,2040,2
1911,2247,2055,2
1909,2389,1991,3
1907,2386,1993,3
1916,2395,2040,3
1907,2381,1975,3
1892,2387,1990,3
1902,2387,1987,3
1908,2385,1978,3
1904,2381,1983,3
1874,2375,1997,3
1909,2385,1989,3
1908,2382,1988,3
1907,2384,1984,3
1882,2384,1992,3
1895,2384,1988,3
1916,2386,2035,3
1893,2387,2002,3
1899,2384,1975,3
1902,2387,1962,3
1912,2392,2000,3
1905,2383,1965,3
1891,2389,2075,3
1910,2384,1990,3
1877,2383,1999,3
1895,2386,1992,3
1903,2389,1991,3
1913,2386,2010,3
1882,2371,2070,3
1911,2377,2085,3
1904,2383,2074,3
1929,2378,2102,3
1928,2389,2046,3
1898,2385,2014,3
1899,2381,2058,3
1914,2388,2039,3
1909,2384,1979,3
1900,2378,1969,3
1913,2385,1971,3
1903,2390,1995,3
1931,2377,2103,3
1883,2379,2003,3
1900,2385,1995,3
1962,2375,2093,3
1908,2384,1964,3
1915,2360,2088,3
1900,2383,1964,3
1888,2394,1999,3
1906,2384,1964,3
1895,2378,2015,3
1934,2380,2092,3
1871,2374,1993,3
1870,2382,2005,3
1887,2384,2005,3
1907,2384,1960,3
1892,2380,2037,3
1876,2379,2069,3
1902,2375,1976,3
1943,2396,2048,3
1890,2383,1995,3
1894,2383,1999,3
1872,2378,2002,3
1879,2483,1966,3
1891,2391,1996,3
1900,2384,1987,3
1897,2333,2046,3
1896,2379,1975,3
1909,2386,1991,3
1878,2381,1997,3
1947,2389,2011,3
1883,2394,1979,3
1906,2389,1982,3
1893,2378,1996,3
1885,2379,2000,3
1884,2383,2003,3
1891,2379,2076,3
1890,2383,1990,3
1883,2381,2023,3
1869,2359,2117,3
1886,2375,1980,3
1873,2412,1889,3
1893,2381,1995,3
1918,2387,2046,3
1891,2377,1988,3
1896,2385,1999,3
1916,2388,2066,3
1935,2388,2103,3
1907,2385,1969,3
1872,2375,1998,3
1890,2383,2006,3
1910,2384,1976,3
1909,2387,1985,3
1894,2361,2025,3
1914,2392,1986,3
1881,2377,1980,3
1915,2395,2026,3
1900,2381,2073,3
1993,2349,2036,3
1901,2375,2011,3
1895,2380,2087,3
1875,2377,2003,3
1926,2378,2094,3
1871,2380,2005,3
1922,2389,2050,3
1910,2387,2024,3
1914,2456,1987,3
1940,2369,2005,3
1903,2385,1997,3
1923,2389,2067,3
1874,2364,2082,3
1928,2375,2150,3
1905,2383,1987,3
1849,2436,2019,3
1881,2382,1980,3
1913,2386,2024,3
1882,2378,1999,3
1887,2412,1996,3
1903,2388,2074,3
1894,2383,1973,3
1912,2386,2003,3
1901,2386,1980,3
1892,2381,2009,3
1897,2381,1967,3
1930,2383,2034,3
1915,2389,1976,3
1876,2383,1995,3
1906,2385,1989,3
1930,2387,2067,3
1894,2386,1998,3
1909,2385,1974,3
1869,2376,1995,3
1909,2386,1990,3
1908,2387,1984,3
1929,2387,2068,3
1902,2378,1967,3
1920,2387,1995,3
1881,2385,2015,3
1914,2385,2003,3
1899,2383,2014,3
1913,2379,2107,3
1869,2377,2011,3
1911,2385,1983,3
1897,2381,1996,3
1910,2385,1961,3
1894,2381,1964,3
1919,2390,2011,3
1869,2385,2009,3
1866,2370,2003,3
1903,2389,1982,3
1921,2381,2064,3
1841,2375,2046,3
1877,2381,2005,3
1903,2383,1964,3
1907,2384,1997,3
1900,2381,2046,3
1926,2385,2043,3
1920,2379,2073,3
1875,2380,1989,3
1886,2378,2012,3
1908,2385,1982,3
1910,2382,1957,3
1914,2390,2014,3
1893,2384,1979,3
1894,2382,2023,3
1955,2420,1994,3
1907,2380,1971,3
1902,2385,1969,3
1905,2391,1974,3
1902,2386,1989,3
1894,2382,1976,3
1906,2386,1974,3
1875,2375,2008,3
1877,2379,1997,3
1917,2382,2002,3
1912,2388,2002,3
1917,2378,2116,3
1879,2392,2001,3
1900,2383,1980,3
1902,2383,1969,3
1854,2379,2079,3
1931,2383,2002,3
1917,2391,2041,3
1880,2375,2079,3
1892,2381,2000,3
1977,2389,2037,3
1870,2377,2011,3
1916,2364,2043,3
1868,2383,1995,3
1884,2384,1995,3
1908,2387,1978,3
1903,2386,2004,3
1877,2378,1978,3
1887,2381,1987,3
1889,2373,1976,3
1873,2380,1988,3
1878,2386,1980,3
1870,2366,1983,3
1906,2387,2011,3
1911,2383,1972,3
1923,2382,2052,3
1929,2393,1977,3
1947,2383,2071,3
1914,2390,1988,3
1932,2394,2002,3
1853,2353,1989,3
1903,2385,2015,3
1900,2377,1968,3
1909,2386,1985,3
1873,2378,2007,3
1906,2384,1980,3
1889,2381,2001,3
1905,2387,1983,3
1961,2342,2192,3
1888,2367,2100,3
1871,2399,1997,3
1903,2385,1973,3
1877,2382,2001,3
1891,2382,1988,3
1905,2382,1995,3
1922,2392,1997,3
1893,2386,1954,3
1895,2384,2006,3
1890,2383,2003,3
1861,2386,1998,3
1870,2338,2119,3
1924,2387,2055,3
1910,2388,1997,3
1876,2380,1991,3
1868,2379,2000,3
1879,2367,2088,3
1912,2382,1992,3
1884,2382,1995,3
1910,2361,2045,3
1934,2350,2046,3
1894,2378,1967,3
1889,2387,2007,3
1916,2388,1984,3
1876,2384,1989,3
1907,2387,1976,3
1918,2385,2006,3
1911,2386,2006,3
1869,2381,2006,3
1898,2384,2005,3
1908,2392,1992,3
1897,2383,1998,3
1908,2381,2001,3
1867,2380,2010,3
1897,2380,1970,3
1887,2372,2082,3
1889,2381,1995,3
1906,2389,1977,3
1902,2384,1959,3
